The Chief Executive,Computer and Information Research Scientist:  CEO: Systems Admin:  Biomedical Engineer:  Pilot,Complex problem solving: Critical thinking: Managerial ability: Oral expression,High end computer servers: Operating system software: Object or component oriented development software
The Brainstorm,Psychiatrist: Psychologist: Surgeon:  Internist: Systems analyst,Active listening: Social perceptiveness: Public speaking: Writing: Monitoring,Medical software: In-depth knowledge of general office software: Administration software
The Pablo Picasso,"College professor (Art, Philosophy): Clinical Neuropsychologist: Broadcast news analyst: Life coach",Written and verbal communication: General psychology training,"Analytic and scientific software: Standardized testing batteries, e.g., Wechsler Intelligence and Memory Scales: Standard office software"
The Sparkler,Political scientist: Sociologist: Architect: Set designer,Motivational speaking: Team building: Leadership,Social media analytics software: Project management software
The Dynamo,Professor (Law or Political Science): Clergy: Judge/magistrate: Choreographer: Coach/scout ,Networking: Management: Talent scouting,Analytic software: Standard office software: Social media sites
The Director,Pharmacist: Health services manager: HR Manager: Personal financial advisor,Event planning: Recruiting: Optimizing systems,Spreadsheet skills: Time management software: Standard office software
The Workhorse,Bioinformatics scientist: Big data scientist: Computer systems analyst: Cartographer: Web developer,Broad-based engineering and technology skills: Mathematics: Design skills,Administration software: Configuration management software: Transaction and system security software
The Private Investigator,Judicial law clerk: Historian: Economist: Clinical research coordinator,Data analysis: Historical research: Working independently,Statistical software packages: Various historical research databases: Productivity management software
The Ghostwriter,Mathematician: Copy writer: Editor: Advertising agent: Screenwriter,Brand conception and development: Artistic expression: Self-direction,Advanced word processing software: Social media management software: Analytic software
The Loyalist,Park naturalist:  Community organizer: Mediator: Clergy:  Guidance counselor,Social perceptiveness: Service orientation: Oral expression,Public safety resources: Office software:  Analytical software
The Chess Master,Survey researcher: Budget analyst: Insurance specialist: Human resource management,Persuasion: Group organization: Project development,Office software: Budget tracking software: Project management software
The True Blue,Pharmacist: Security analyst: City planner,Attention to detail: Implementing established routines: Adhering to rules and regulations,Public safety resources: Analytical software: Budget tracking software
The Swiss Army Knife,Wildlife Biologist: Archeologist: Geoscientist: Athletic trainer,Hands-on problem solving: Adapting to changing circumstances: Leadership through action,Weather tracking and radar software: Budget tracking software: Backup clothing and supplies
The Connoisseur,Medical scientist:  Microbiologist:  Mechanical or Industrial engineer: Urban planner,Scientific method:  Complex problem solving: Public speaking,Scientific and analytic software:  Spreadsheets:  Laboratory equipment
The Different Drummer,Veterinarian: Software developer: Multimedia artist:  Forester: IT specialist,Artistic expression: Formulating novel strategies: Product development,Computer diagnostic software: Budget tracking software: Integrated development environment
The Clicker,"Computer science professor, Entrepreneur: Human service specialist: ",Team building: Public speaking: Management,Productivity monitoring software: Office software: Time tracking software
The Maverick,Criminal Investigator: Public Relations Manager: Defense Attorney,Strategic management: Project progress tracking: Leadership,Office software: Billing software: Social media management software
The Drum Machine,Archivist:  Education administrator:  Medical services manager: Financial analyst,Coordination: Time management:  Judgment and decision making: Complex problem solving,Data base user interface and query software: Project management software
The Bullet Train,Construction manager: Startup advisor: Consultant,Implementing established routines: Leadership through hands-on action: Adhering to rigid guidelines,Productivity monitoring software: Office software: Time tracking software
