high_extraversion,realistic,HER,The Chief Executive,"Someone asks you to give a speech at a wedding reception?  No worries.  Your neighbor needs a hand changing a tire?  Right in your, ahem, wheelhouse.  A co-worker wants to have a long, drawn-out discussion about general office morale and the social reasons behind it?  Noooo thanks.  That's just not who you are.  You want to move.  You want to accomplish.  You want to take the lead, rally the troops, and get things done.  ","Your energy is a gift to use in your interactions with the people in your life.  So is your ability to see the root of a problem and enthusiastically address it.  Your talents, along with your enjoyment of being with others, offer the potential for great joy and meaning in your personal and relational life.   ","In your activities and relationships, be careful that your knowledge and enthusiasm don't cause you to miss out on experiences and good ideas that might come from the less outgoing people around you.  And when decisions need to be made, don't short-change the thinking process.  Sometimes it may be important to think about and even - Yikes! - have a discussion before jumping into action.","**The Chief Executive** brings charisma, spontaneity, and leadership through energetic action.",You are *an effective leader* who enjoys being with others.,Your *enthusiasm and sociability* offer great potential for meaningful relationships.,Make sure your *desire for action* doesn't keep you from whatever analysis may be necessary in a given situation.
high_extraversion,investigative,HEI,The Brainstorm,"You love being with people.  A great conversation or a lunch with good friends leaves you feeling happy and even energized.  When it comes  time to get things done, though, you're less enthused about people-oriented activities.  It's not that you mind working with others; it's just that your preference, when you're given a task, is to analyze the available information and then think it through from as many angles as possible.  If other people can help in this process, great.  Otherwise, though, you'd just as soon be by yourself.","Your personality, which combines an extravert's love of people with a scholar's love of analytical and intellectual exploration, makes you pretty unique.  Not everyone who so enjoys logic and solving complex, abstract problems, also enjoys being with other people.  ","Watch for ways to capitalize on this distinctive set of skills--in your professional life, but in your personal life and relationships as well.  Feel free to go it alone sometimes, but remain open to input from the people around you.  When you share and receive gifts from those in your life, everyone wins.",**The Brainstorm** combines a mastery of analytical logic and sociability that can lead to great success.,"You enjoy both *solving abstract problems with logic* and *being with people*, which is a strong and unique combination.","Your preference, though, is to *work alone when a problem or issue arises*.","Work on staying open to input from people around you, so you can all benefit from what you offer each other."
high_extraversion,artistic,HEA,The Pablo Picasso,"You're creative and independent, but no one would ever accuse you of being an anti-social artist who hides in the studio.  You love being with other people, and you draw much of your artistic energy from your interactions with others.  And even though you connect easily with people around you and feel excited by the thought of new relationships, you remain committed to your own unique and original perspective on your life and activities.  Your imagination and originality make you who you are, and you have no problem taking an unconventional stance or coloring outside the lines.You're creative and independent, but no one would ever accuse you of being an anti-social artist who hides in the studio.  You love being with other people, and you draw much of your artistic energy from your interactions with others.  And even though you connect easily with people around you and feel excited by the thought of new relationships, you remain committed to your own unique and original perspective on your life and activities.  Your imagination and originality make you who you are, and you have no problem taking an unconventional stance or coloring outside the lines.You're creative and independent, but no one would ever accuse you of being an anti-social artist who hides in the studio.  You love being with other people, and you draw much of your artistic energy from your interactions with others.  And even though you connect easily with people around you and feel excited by the thought of new relationships, you remain committed to your own unique and original perspective on your life and activities.  Your imagination and originality make you who you are, and you have no problem taking an unconventional stance or coloring outside the lines.You're creative and independent, but no one would ever accuse you of being an anti-social artist who hides in the studio.  You love being with other people, and you draw much of your artistic energy from your interactions with others.  And even though you connect easily with people around you and feel excited by the thought of new relationships, you remain committed to your own unique and original perspective on your life and activities.  Your imagination and originality make you who you are, and you have no problem taking an unconventional stance or coloring outside the lines."," This strong combination of social comfort and artistic temperament allows you to smoothly glide into all kinds of diverse social and work environments.  Friends and coworkers likely recognize you as someone who enjoys working as a team member, but who also feels deeply and remains committed to your own perspective and vision.","A potential drawback to being a passionate person who enjoys interacting with others is that you face a greater potential to be disappointed, and even hurt, by people who may not share your enthusiasm and spirit.  After all, when you put yourself out there, emotionally and artistically, you make yourself vulnerable.  So continue to follow your social and artistic instincts, but remain aware that at times, when you go against popular opinion, there may be consequences.  And sometimes that will mean you've done just the right thing.","**The Pablo Picasso** contributes imagination, originality, and spirit along with a passionate and artistic perspective.",You have a *unique artistic perspective* and *a love of being with others*.,Your creativity and social prowess make you a *valuable partner and teammate*.,"Continue to follow and express your passions, but realize that doing so can make you vulnerable to being hurt as well."
high_extraversion,social,HES,The Sparkler,"Not exactly a quiet loner, are you?  In fact, you have significant gifts when it comes to relating with and helping the people around you.  Your ability to interact with and support others is a valuable talent that allows you to help people around you feel good about themselves.  Plus, you feel absolutely energized when you get to spend time with others, talking and laughing together.","Used wisely, these people-oriented skills and desires give you the potential to create a large number of deep relationships in your life.  With those relationships will come great joy and meaning, but probably pain as well.  After all, at least some conflict is almost inherent in any real and honest relationship.  The good news is that pain can lead to further growth as well.","Make sure as well, that in your high-energy approach to your social life and relationships, you pay attention to the suggestions and ideas presented by those around you who present their opinions more quietly and subtly.  Remember that a practical-minded realist can be a good counter-balance to your emphasis on the concerns and needs of the people around you. ","**The Sparkler** radiates enthusiasm, energy, and leadership through sociability.",You *relate well to people* and feel a strong desire to help others. ,"Enjoy the joy that comes from your deep relationships, and learn from the pain they bring.",*Remain open to learning* from and being influenced by people with more practically oriented  approaches to life.
high_extraversion,enterprising,HEE,The Dynamo,"When it comes to how you approach your life and relationships, you bring to the table a powerful combination:  the desire to connect on a deep level with the people around you, and also a  personality that likes organizing, managing, and leading others.  Add to all of this your high energy and willingness to take risks, and you have the potential to make great things happen.","The dangerous flip-side of this powerful coin is that in your pursuit of the next big thing, you have the potential to lose sight of the personal concerns of the people around you, or even of yourself.  Continue to follow your instincts, and don't apologize for the big footprints you leave as you interact with and lead others.  But as you stride deeper and deeper into each new, exciting venture, don't lose sight of the individual needs and concerns that surround you.  Steamrollers definitely serve a purpose, but they're rarely fun to be in a relationship with.","Keep in mind, too, that someone has to follow through on the details of your dreams.  Your focus may be on initiating and energizing a particular project, and that's great.  Just make sure that, if your strength isn't the follow-through part of a task, you partner with people who are good at taking care of the more mundane, everyday details required for success.",**The Dynamo** enjoys being with others and likes organizing and managing people to achieve big-picture successes.  ,"You *enjoy being with and organizing others*, and you're *willing to take risks* in the pursuit of the next big thing.",You also need to be aware of the potential tendency to steamroll others as you drive toward your goals.,"*Remain sensitive* to the needs and concerns of those around you, and keep in mind that you need practical, detail-oriented people in your life who balance your big dreams and goals."
high_extraversion,conventional,HEC,The Director,"""Measure twice, cut once.""  Rings pretty true for you, doesn't it?  You want things done well and done right, and rules and order are very important to you.  And even though it can frustrate you when others don't display the same attention to detail, you really do enjoy being with the people around you.  You get excited by opportunities to hang out with others, and after a meeting with a group or some time spent socializing, you often find yourself energized and full of positive emotions.  ","This is a nice combination you bring to your life and work.  Many people who are as responsible as you are when it comes to paying attention to rules and regulations, aren't as interested in spending time with other people.  Most likely, you're valued by the people in your life because of these dual strengths.  They like it that you like being with them, and they enjoy knowing they can count on you for order and responsibility.","One caution:  Be careful with that desire for order.  Consistency and reliability are very positive traits, without a doubt.  But don't let them move you towards a rigidity that causes you to freak out when things get messy--either literally or figuratively.  Continue to follow instructions and routines when necessary, but also flexibly deviate from them and adjust when situations call for it.","**The Director** combines an enjoyment of others with a desire for routine, order, and responsibility.","You *value order and rules*, while thoroughly enjoying the company of others.","Most likely, the people in your life value that combination.","Remember, though, to *stay flexible* and avoid becoming too fixed on your desire for order and rules.  "
low_extraversion,realistic,LER,The Workhorse,"""I am a rock, I am an island.""  That old Simon and Garfunkel line applies to you sometimes.  You like being by yourself and getting to work independently to do what needs to be done.  That way you can make sure things get done correctly.  You like to jump right into whatever task you're presented with and figure it out by doing something.  You're much less interested in sitting around talking and thinking about how to address a situation.  ","Your practical-minded approach to life gives you a lot to offer those around you.  People usually really appreciate someone who's ready to jump in and accomplish whatever needs to be done.  So now might be a good time to open yourself up and allow people into your life a bit more.  Then you can use your gifts to contribute to their lives, and--who knows?--they just might have something to offer you as well.","Remain aware, though, of your need for time alone.  Even as you explore new opportunities and relationships with other people, make it a priority to ""re-charge"" with some regular alone time.","**The Workhorse** values independence and autonomy, along with an action-oriented approach.","You prize *independence and autonomy*, and you like to *get things done*, preferably by yourself.","This independent, can-do approach means you have much to offer those around you, if you'll remain open to new possibilities and relationships.",Make sure you *re-charge after being with the other people* in your life.
low_extraversion,investigative,LEI,The Private Investigator,"Socrates once said, ""To find yourself, think for yourself.""  You're someone who strongly adheres to that independent notion.  It's not that you dislike people.  But you do prefer to be on your own, especially when it comes time to get things done, or when you're trying to address a problem.  You like to approach a task in a cool, calm, deliberate manner, observing any and all important information, then analyze the data and offer a clear, reasoned response based on what you've seen.  This cool independence sometimes works well for you in social settings, especially when people get to know you. They may start to enjoy your brilliant insights after you've surprised them a couple of times.Socrates once said, ""To find yourself, think for yourself.""  You're someone who strongly adheres to that independent notion.  It's not that you dislike people.  But you do prefer to be on your own, especially when it comes time to get things done, or when you're trying to address a problem.  You like to approach a task in a cool, calm, deliberate manner, observing any and all important information, then analyze the data and offer a clear, reasoned response based on what you've seen.  This cool independence sometimes works well for you in social settings, especially when people get to know you. They may start to enjoy your brilliant insights after you've surprised them a couple of times.Socrates once said, ""To find yourself, think for yourself.""  You're someone who strongly adheres to that independent notion.  It's not that you dislike people.  But you do prefer to be on your own, especially when it comes time to get things done, or when you're trying to address a problem.  You like to approach a task in a cool, calm, deliberate manner, observing any and all important information, then analyze the data and offer a clear, reasoned response based on what you've seen.  This cool independence sometimes works well for you in social settings, especially when people get to know you. They may start to enjoy your brilliant insights after you've surprised them a couple of times.Socrates once said, ""To find yourself, think for yourself.""  You're someone who strongly adheres to that independent notion.  It's not that you dislike people.  But you do prefer to be on your own, especially when it comes time to get things done, or when you're trying to address a problem.  You like to approach a task in a cool, calm, deliberate manner, observing any and all important information, then analyze the data and offer a clear, reasoned response based on what you've seen.  This cool independence sometimes works well for you in social settings, especially when people get to know you. They may start to enjoy your brilliant insights after you've surprised them a couple of times.","This serious, analytical approach to life often earns you respect from the people around you.  They may also be attracted by your ability to organize and understand information, then come up with unique and unconventional ways of dealing with perplexing issues.","So don't miss out on the opportunities you receive to learn and grow from the people you meet.  Even though you prefer independence and using your mind to solve problems that arise, don't forget that it often requires more than one person to put ideas into action.  Remain open to new possibilities, both socially and relationally; it's good for you, and for the people around you.  Just make sure that after you've spent time with others, you make it a priority to ""re-charge"" with some time alone.  ",**The Private Investigator** combines an effective lone-wolf mindset with analytical reasoning and deliberate action.,"You are *independent and analytical*, preferring to spend plenty of time by yourself.",You can *dissect problems* and devise unconventional solutions.,"Even though it's not always your preference, watch for times that interacting with others will be good for you, and maybe even meaningful."
low_extraversion,artistic,LEA,The Ghostwriter,"Some people need to be with others all the time.  It feeds them, gives them energy.  But you identify with the Picasso quote, ""Nothing can be done without solitude.""  Too much time with other people wears you out and leaves you feeling depleted.  It's not that you don't like other people; it's just that you need time by yourself to think, and to feel.  You love to use your creativity and imagination, and when you get enough free time, you're at your best.  Then you can follow your creative instincts and solve problems by coming up with inventive and unique solutions.","You're especially drawn to unconventional ideas.  For you, rules and routine may prove helpful at times, but just as often they may end up hindering you and keep you from enjoying your life and relationships.  For the most part, you want to be left alone to chase out imaginative insights and tackle obstacles by creating something new.","Don't forget, though, that there are significant drawbacks to being too independent.  Other people add flavor and variety to our lives, and relationships can deepen our ability to live withe meaning and purpose.  So stay true to your independent and artistic spirit, but remain open to the possibility that synergy with others might open up new and powerful possibilities as well.","**The Ghostwriter** brings imagination, creativity, and independence through intensive self-guidance.","You value *creativity and independence*, sometimes above all else.",You excel at devising and *implementing original solutions to unconventional problems*.,Sometimes you should engage more fully with others to broaden your horizons.
low_extraversion,social,LES,The Loyalist,"You care about people.  You want to help them, and teach them, and you enjoy the relationships you develop in your work and social life.  However, it's not at all that you're an extravert.  In fact, being around people too much can completely wear you out.  After you've spent several hours solving problems and helping others, you may be left feeling completely depleted, like a car that's run out of gas.","This is a unique combination of skills you offer.  Not all introverts feel such a connection to other people, or experience the empathy and sensitivity to social cues that you do.  Most likely, your low-key approach to your interactions with others is part of what allows you to be so successful when it comes to helping people and developing meaningful relationships. ","Just make sure that in your efforts to help others and to give of yourself, you take time to re-fill your own tank by finding time to be alone.  There's a reason they tell parents on airplanes to put the mask over their own face before placing it on their child's face.  If you don't take care of yourself and meet your own needs, you're going to have a hard time being successful at helping others over the long run.",**The Loyalist** loves to travel around helping and caring for others but also needs to re-energize by spending plenty of time alone.,You value *helping others* and cultivating relationships.,"You also need time away from people, so you can re-charge and be ready to start helping again.","As you help others, make sure you *take care of yourself* as well."
low_extraversion,enterprising,LEE,The Chess Master,"You have good communication skills and like to use them to lead others.  You can organize a group to take on a challenge, and inspire them to get on board and follow your vision.  These are powerful gifts.  What makes you especially interesting, is the fact that you're not really an extravert. In fact, being with people can completely exhaust you.  Despite your ability to organize, persuade, and manage others, you desire -- and even need -- time alone.","When you get that time to re-charge, you can come across as confident and assertive, even energetic.  Some people may see you as a risk-taker who's able to see the big idea and move people toward it.  While others may end up being responsible for carrying out your original vision, it's you who provides the inspiration and influence to get it off the ground.","Obviously, it's important that you continue to take care of yourself by finding time to be alone and re-fill your tank.  Also, make sure that you pay attention to the needs and desires of the people around you.  Don't get so focused on your own ideas and visions that you neglect the concerns of others--or of yourself.","**The Chess Master** brings confidence and effective communication to inspire and lead other people, but also needs some time alone.",You have the vision and *organizational skills* to bring together and *lead groups of people*.,"After spending time working with people, you need to take time to re-charge by spending time alone.","*Remain sensitive* to the needs and concerns of those around you, and of yourself."
