id,name,standard_deviation,mean,weight_extraversion,weight_conscientiousness,weight_neuroticism,weight_openness,weight_agreeableness
integer,string,float,float,float,float,float,float,float
1,abstraction,3.997029,12.05394,0,1,-1,0,0
2,achromatic,0,0,0,0,0,0,0
3,adaptive_or_medical_equipment,0,0,0,0,-0.25,0,0
4,adult,15.11203,4.928647,0,0,0,0,0.5
5,african,0.193247,0.01245,0,0,0,0,0
6,african_american,0.128831,0.0083,0,0.5,-0.5,0,0
7,aggression,0,0,0,0,0,0,0
8,airplane,0,0,0,0,0,0,0
9,airport,0,0,0,0,0,0,0
10,alcoholic_drinks,2.072393,2.32365,0,0,0,0,0
11,alone,4.254097,12.83402,0,0,-1,0,1
12,anger,0,0,0,0,0,0,0
13,animal,2.449116,6.74689,0,0,0,0,0.5
14,animal_averted_eyes,1.499712,3.45643,0,0,0,0,0
15,animal_direct_eyes,2.449116,6.74689,0,0,0,0,1
16,animal_eyes,2.449116,6.74689,0,0,0,0,0.5
17,art,1.906203,2.93776,-0.75,0,0,0,0
18,asian,0,0,0,0,0,0,0
19,asymmetrical,1.611315,2.56846,0,0,-0.75,0,0.5
20,bar,2.072393,2.32365,0,0,0,0,0
21,bathroom,0,0,0,0,0,0,0
22,bdsm,0,0,0,0,0,0,0
23,beach,0.257663,0.0166,0,0,-0.5,1,1
24,bedroom,0,0,0,0,0,0,0
25,bird,1.811615,3.29046,0,0,0,0,0
26,bisexual,1.365577,1.39419,0,0.75,0,0,-0.5
27,blood,0,0,0,0,0,0,0
28,blue,3.271366,9.19917,0,0,0,0.75,0.5
29,blurred,2.870981,7.78838,0,0,-1,0,0.5
30,boat_ship,0.322078,0.02075,0,0,0,0,0
31,books,0,0,0,0,0,0,0
32,bridge,0,0,0,0,0,0,0
33,buildings,0.549613,0.04564,0,0,0,0,0
34,cars,2.137017,5.24066,0,0,-0.5,0.5,0
35,caucasian,3.376691,9.29876,0,0.75,-0.5,0,0
36,cemetery,0,0,0,0,0,0,0
37,child,0.671748,0.05394,0,0,0,0,0.5
38,church,0,0,0,0,0,0,0
39,cigarettes,1.365577,1.39419,0,-0.75,0,0,-0.5
40,circular,3.449773,8.48963,0,0.75,-0.75,0,0
41,color,7.632488,31.91286,0,1,-0.75,0,0
42,combat,0,0,0,0,0,0,0
43,containers,0.322078,0.02075,1,0,0,0,0
44,coworkers,0,0,0,0,0,0,0
45,crowd,2.067047,2.33195,0,0,-0.5,0,0
46,cuts_wounds_mutilation_etc,0,0,0,0,0,0,0
47,dam,0,0,0,0,0,0,0
48,danger,2.24169,5.24066,0,1,-1,0,0
49,deceased_animals,0,0,0,0,0,0,0
50,deceased_humans,0,0,0,0,0,0,0
51,desert,0,0,0,0,0,0,0
52,details,3.631795,8.95851,-0.5,0,-0.5,0,0
53,dining,0,0,0,0,0,0,0
54,dining_room,0,0,0,0,0,0,0
55,disabled,0,0,0,0,0,0,0
56,disgust,0,0,0,0,0,0,0
57,domestic_animal,1.499712,3.45643,0,0,0,0,0.5
58,drugs,0,0,0,0,0,0,0
59,elder,0,0,0,0,0,0,0
60,family,0,0,0,0,0,0,0.5
61,fear,1.572818,2.54772,0,1,-1,0,0
62,female,3.106712,6.3195,0,0,-1,0,0
63,fetishes,1.365577,1.39419,-0.5,-0.5,0,0,-0.5
64,filtered,3.29186,9.34855,0,1,-1,0,0
65,fish,0,0,0,0,0,0,0
66,flowers,1.635511,3.11203,0,1,-0.5,0,1
67,flying_bird,0,0,0,0,0,0,0
68,food,0,0,0,0,0,0,0
69,forest,0,0,0,0,0,0,0
70,friends,1.48254,3.07884,0.5,0.75,0,0,0
71,furniture,1.48156,3.09544,-0.5,1,-1,0,0.5
72,gambling,0,0,0,0,0,0,0
73,green,0,0,0,0,0,0,0
74,gym_exercise_equipment,0,0,0,0,0,0,0
75,happy,2.072393,2.32365,0,0,0,0,0
76,heterosexual,2.072393,2.32365,0,0,0,0,0
77,high_fashion,1.365577,1.39419,0,0.75,0,0,-0.5
78,hispanic,2.072393,2.32365,0,0,0,0,0
79,homosexual,0,0,0,0,0,0,0
80,honoraria,0,0,0,0,0,0,0
81,hospital,0,0,0,0,0,0,0
82,human,5.383412,18.26971,0,0,-1,0,0
83,human_averted_eyes,3.256608,6.84647,0,0,0,0,0
84,human_direct_eyes,2.702472,4.90456,0,0.5,-1,0,0.5
85,human_eyes,3.433139,8.11618,0,0,-1,0,1
86,individual_athletics,2.284093,5.65975,0,0.75,-1,0.75,1
87,indoors,2.081799,2.36929,-0.5,0,0,0,0
88,infant,0,0,0,0,0,0,0
89,insects,0,0,0,0,0,0,0
90,jewelry,2.640078125,3.71784,-0.25,0,0,0,0
91,kissing,0.374914,0.0332,0.25,0,0,0,0.5
92,kitchen,0,0,0,0,0,0,0
93,large_equipment,0,0,0,0,0,0,0
94,lights_lighting,2.727631,6.639,0,1,-1,0,0.75
95,likes,0,0,0,0,0,0,0
96,living_room,0,0,0,0,0,0,0
97,luggage,0,0,0,0,0,0,0
98,makeup,3.032466,6.26556,0,0,0,0,0
99,male,3.672785,9.33195,0,0,-0.5,0,0.5
100,man_made,6.28351,24.92946,0,0,-0.75,0,0
101,mirrors_glass,1.572818,2.54772,0,1,-1,0,0
102,moon,0,0,0,0,0,0,0
103,mosque,0,0,0,0,0,0,0
104,motorcycles,0,0,0,0,0,0,0
105,mountain,0,0,0,0,0,0,0
106,movement,4.674753,17.02905,0,0.5,-1,0,1
107,museum,0,0,0,0,0,0,0
108,musical_instruments,0,0,0,0,0,0,0
109,mystery,3.01795,6.27386,0,1,-1,0,0.5
110,native_american,0,0,0,0,0,0,0
111,nature,3.918172,12.95436,0,1,-1,1,1
112,negative_space,3.328816,8.66805,0,1,-1,0,0
113,night,1.380335,2.69295,0,0,0,0,0
114,night_life,2.640078125,3.71784,0,0,0,0,0
115,non_domestic_animal,0,0,0,0,0,0,0
116,non_religious_spiritual_activities,0.257663,0.0166,0,0,-0.5,1,1
117,nudity,0,0,0,0,0,0,0
118,ocean,2.370498,6.85062,0,1,-1,1,1
119,pair,3.57795,10.6556,0,0.75,-0.75,0.75,0
120,park,1.603905,2.95021,0,0,-0.1,0,1
121,pet,2.449116,6.74689,0,0,0,0,0.75
122,piercings,1.365577,1.39419,0,-0.5,0,0,-0.75
123,primary_color,4.133868,13.17842,0,0.75,-0.75,0.5,1
124,rain,0,0,0,0,0,0,0
125,red,3.460976,7.09544,0,0,0,0,0
126,reflection,4.116672,12.69295,0,1,-1,0,0
127,religious_activities,0,0,0,0,0,0,0
128,religious_icons,0,0,0,0,0,0,0
129,reptiles,0,0,0,0,0,0,0
130,restaurant,0,0,0,0,0,0,0
131,river,0,0,0,0,0,0,0
132,road_freeway,2.398132,5.49793,0,0.75,-1,1,1
133,rocks,0,0,0,0,0,0,0
134,romantic,0,0,0,0,0,0,0
135,rural,0,0,0,0,0,0,0
136,sadness,1.275975,0.11618,0,0,0,0,0.75
137,scatological,0,0,0,0,0,0,0
138,sex,0,0,0,0,0,0,0
139,shading,4.754218,14.14938,0,0.5,-0.5,0,0
140,shopping,0,0,0,0,0,0,0
141,siblings,0,0,0,0,0,0,0
142,significant_other,0,0,0,0,0,0,0
143,sky,2.445244,6.87137,0,0.75,-1,0.75,0.75
144,snow,1.629931,3.44813,0,0,-0.75,0,0
145,southeast_asian,0,0,0,0,0,0,0
146,speed,2.137017,5.24066,0,0,-0.75,0.75,0
147,sports_or_recreational_equipment,2.179473,6.17012,0,0,0,0,0
148,stadiums_arenas,0,0,0,0,0,0,0
149,stars,0,0,0,0,0,0,0
150,storm,2.343962,6.81328,0,1,-1,0,0.75
151,strangers,2.072393,2.32365,0,0,0,0,0
152,suburban,0,0,0,0,0,0,0
153,sunset,0,0,0,0,0,0,0
154,surprise,0,0,0,0,0,0,0
155,symmetrical,2.175766,2.40664,0,0,0,0,0
156,tattoos,0,0,0,0,0,0,0
157,team_sports,0,0,0,0,0,0,0
158,technological_equipment,0.454538,0.04149,1,-0.75,0,0,0
159,teenager,0,0,0,0,0,0,0
160,temple,0,0,0,0,0,0,0
161,texture,2.684821,6.0083,0,1,-1,0,0.75
162,theater,0,0,0,0,0,0,0
163,tools,1.380686,0.12033,0,0,0,0,0
164,transgender,1.365577,1.39419,0,-0.75,0,0,-0.5
165,trees,1.655777,2.9917,0,0,-1,0,0
166,urban,0.128831,0.0083,0,0.5,0,0,0
167,vehicle,2.137017,5.24066,0,0,-0.75,0.75,0
168,vista,1.590308,3.42739,0,1,-1,0,0
169,water,2.410464,6.86307,0,1,-1,1,1
170,weapons,0,0,0,0,0,0,0
171,whole,4.972563,15.58921,0,0,-1,0,0.75
172,young_adult,3.631795,8.95851,0,0,0.5,0,0
